Time,Registration,Payment,Get Triage Number,Measure Vital Signs,General Medicine Examination,Eye Examination,ENT Examination,Dental Examination,Gynecological Examination,Breast Examination,Blood Test,Urine Test,In-depth Eye Examination,ENT Endoscopy,Electrocardiogram (ECG),Post-bronchodilator Spirometry,General Ultrasound,Cardiac Ultrasound,Chest X-ray,DEXA Bone Density Scan,Conclusion
147.0,1,0,0,1,2,1,1,1,0,1,4,9,0,0,0,0,7,16,3,0,1
148.0,0,1,0,0,3,1,1,1,0,1,5,9,0,0,0,0,7,16,2,0,1
149.0,1,1,0,0,1,2,2,2,0,0,4,9,0,0,0,0,6,17,3,0,1
150.0,2,0,0,1,1,2,2,1,1,0,5,8,0,0,0,0,7,17,2,0,0
151.0,1,1,0,1,0,2,1,1,1,1,4,7,0,0,0,0,8,17,3,0,1
152.0,1,2,0,0,1,1,1,2,1,1,1,8,0,0,0,0,9,17,4,0,1
153.0,1,1,0,1,1,1,1,2,1,1,1,8,0,0,0,0,10,17,3,0,1
154.0,2,0,0,2,0,1,2,1,1,1,3,10,0,0,0,0,8,16,2,0,1
155.0,2,1,0,2,0,2,1,1,1,1,2,10,0,0,0,0,10,16,1,0,1
156.0,1,2,0,0,2,2,1,1,1,1,2,8,0,0,0,0,10,17,1,0,2
157.0,0,1,0,2,2,1,1,1,1,1,2,9,0,0,0,0,10,17,1,0,1
158.0,1,1,0,2,1,1,2,0,1,1,2,9,0,0,0,0,10,16,2,0,1
159.0,3,0,0,1,2,2,2,1,0,1,0,9,0,0,0,0,11,16,3,0,1
160.0,3,1,0,1,2,2,1,2,0,1,1,9,0,0,0,0,10,17,2,0,1
161.0,1,3,0,0,3,1,1,3,0,1,2,8,0,0,0,0,9,19,1,0,0
162.0,0,3,0,1,1,2,1,2,1,1,2,8,0,0,0,0,8,19,2,0,1
163.0,1,2,0,2,1,2,1,2,1,1,2,8,0,0,0,0,9,19,1,0,1
164.0,3,1,0,2,1,2,2,2,1,1,2,8,0,0,0,0,9,19,1,0,1
165.0,2,1,0,2,2,1,2,1,1,1,3,8,0,0,0,0,9,19,2,0,0
